"package","fun","calls","files","sources"
"sf","st_z_range",45,2,"example+test"
"terra","as.numeric",45,13,"example+test"
"geos","geos_geometry",44,5,"test"
"terra","crs",44,22,"example+test"
"s2","s2_data_countries",43,13,"example+test"
"gdalraster","ogr_ds_create",42,8,"example+test+vignette"
"sf","st_precision",42,7,"example+test"
"stars","st_set_dimensions",42,17,"example+test+vignette"
"sf","st_multipolygon",41,20,"example+test+vignette"
"geos","new_geos_geometry",40,5,"test"
"geos","geos_version",39,8,"example+test"
"terra","netw",39,6,"example+test"
"sf","sf_extSoftVersion",38,17,"example+test"
"sf","st_intersects",37,11,"example+test+vignette"
"terra","spatSample",37,9,"example+test"
"terra","tile_apply",37,3,"example+test"
"gdalraster","create",36,6,"example+test+vignette"
"gdalraster","plot_raster",36,17,"example+test+vignette"
"stars","all.equal",36,17,"example+test"
"sf","st_collection_extract",35,4,"example+test"
"gdalraster","g_area",34,3,"example+test"
"gdalraster","is_los_visible",34,2,"example+test"
"stars","dim",34,18,"example+test+vignette"
"terra","focal",34,5,"example+test"
"vapour","vapour_read_geometry_text",34,6,"example+test+vignette"
"gdalraster","ogr_layer_field_names",33,4,"example+test+vignette"
"s2","as_s2_cell",33,5,"example+test"
"sf","rep",33,17,"example+test+vignette"
"stars","matrix",33,20,"example+test+vignette"
"gdalraster","ogr_reproject",32,3,"example+test+vignette"
"gdalraster","pixel_extract",32,2,"example+test"
"gdalraster","vsi_stat",32,10,"example+test+vignette"
"s2","s2_intersects",32,7,"example+test"
"gdalraster","ogr_def_field_domain",31,1,"test"
"sf","st_sample",31,4,"example+test"
"terra","t",31,11,"example+test"
"terra","time",31,6,"example+test"
"sf","read_sf",30,15,"example+test+vignette"
"sf","st_area",30,13,"example+test+vignette"
"sf","st_set_crs",30,16,"example+test+vignette"
"sf","st_set_precision",30,3,"test"
"sf","st_union",29,11,"example+test+vignette"
"stars","image",29,12,"example+test+vignette"
"terra","tessellate",29,2,"example+test"
"sf","st_as_binary",28,12,"example+test+vignette"
"sf","st_as_text",28,11,"example+test+vignette"
"terra","expanse",28,7,"example+test"
"gdalraster","g_name",27,4,"example+test"
"gdalraster","plot",27,5,"example+test+vignette"
"terra","relate",27,3,"example+test"
"vapour","vapour_read_raster",27,4,"example+test+vignette"
"gdalraster","calc",26,7,"example+test"
"stars","st_apply",26,6,"example+test+vignette"
"terra","%in%",26,11,"example+test"
"s2","new_s2_cell",25,2,"test"
"s2","s2_num_points",25,5,"example+test"
"sf","st_make_grid",25,8,"example+test"
"stars","st_as_sf",25,12,"example+test+vignette"
"terra","classify",25,11,"example+test"
"terra","nlyr",25,15,"example+test"
"terra","project",25,10,"example+test"
"gdalraster","bbox_from_wkt",24,8,"example+test+vignette"
"gdalraster","bbox_to_wkt",24,6,"example+test+vignette"
"gdalraster","g_is_3D",24,2,"example+test"
"gdalraster","g_is_measured",24,2,"example+test"
"gdalraster","g_transform",24,5,"example+test+vignette"
"gdalraster","ogr_field_create",24,4,"example+test+vignette"
"s2","s2_is_empty",24,4,"example+test"
"sf","st_distance",24,10,"example+test+vignette"
"sf","st_intersection",24,11,"example+test+vignette"
"sf","summary",24,9,"example+test+vignette"
"stars","st_extract",24,4,"example+test"
"gdalraster","read_ds",23,5,"example+test"
"sf","dim",23,6,"test"
"sf","st_centroid",23,13,"example+test+vignette"
"terra","patches",23,3,"example+test"
"gdalraster","vsi_unlink",22,14,"example+test+vignette"
"s2","print",22,5,"test"
"s2","s2_snap_level",22,5,"example+test"
"sf","st_is_valid",22,8,"example+test+vignette"
"stars","st_downsample",22,4,"example+test"
"terra","points",22,13,"example"
"terra","predict",22,4,"example"
"terra","text",22,12,"example"
"terra","unique",22,8,"example+test"
"vapour","vapour_warp_raster",22,4,"example+test"
"gdalraster","createCopy",21,9,"example+test+vignette"
"gdalraster","g_is_empty",21,3,"example+test"
"gdalraster","ogr_layer_create",21,5,"example+test+vignette"
"gdalraster","rvector_to_MEM",21,2,"example+test"
"s2","s2_union",21,4,"example+test"
"sf","st_as_grob",21,5,"example+test"
"sf","st_difference",21,10,"example+test+vignette"
"sf","st_interpolate_aw",21,3,"example+test"
"stars","as.data.frame",21,4,"test+vignette"
"terra","levels",21,9,"example+test"
"terra","net_nedges",21,4,"example+test"
"terra","net_nnodes",21,4,"example+test"
"gdalraster","dt_size",20,3,"example+test"
"gdalraster","ogr_execute_sql",20,3,"example+test+vignette"
"gdalraster","srs_is_same",20,7,"example+test"
"gdalraster","srs_to_wkt",20,3,"example+test"
"geos","geos_equals",20,4,"test"
"sf","st_coordinates",20,7,"example+test"
"sf","st_layers",20,7,"example+test+vignette"
"stars","st_transform",20,10,"example+test+vignette"
"terra","crds",20,8,"example+test"
"terra","net_weights",20,4,"example+test"
"vapour","vapour_geom_summary",20,5,"example+test+vignette"
"vapour","vapour_read_names",20,5,"example+test"
"gdalraster","g_build_collection",19,2,"example+test"
"gdalraster","transform_bounds",19,2,"example+test"
"gdalraster","vsi_read_dir",19,6,"example+test+vignette"
"geos","geos_area",19,4,"example+test"
"s2","s2_distance",19,4,"example+test"
"s2","s2_geography_writer",19,1,"test"
"sf","write_sf",19,6,"test+vignette"
"terra","crop",19,6,"example+test"
"gdalraster","g_build_polygon_from_edges",18,2,"example+test"
"gdalraster","g_coords",18,5,"example+test"
"gdalraster","g_intersects",18,2,"example+test"
"gdalraster","g_within",18,1,"test"
"s2","s2_as_text",18,6,"example+test"
"s2","s2_cell_sentinel",18,1,"test"
"s2","s2_rebuild",18,1,"test"
"sf","gdal_utils",18,3,"example+test"
"sf","st_zm",18,4,"example+test+vignette"
"stars","st_get_dimension_values",18,7,"example+test+vignette"
"terra","as.polygons",18,15,"example+test"
"terra","init",18,12,"example+test"
"terra","metags",18,2,"example+test"
"terra","shortestPath",18,4,"example+test"
"terra","subst",18,4,"example+test"
"terra","terrain",18,11,"example+test"
"terra","zonal",18,4,"example+test"
"gdalraster","g_add_geom",17,2,"example+test"
"gdalraster","g_difference",17,4,"example+test"
"gdalraster","g_is_valid",17,2,"example+test"
"gdalraster","g_overlaps",17,2,"example+test"
"gdalraster","g_set_3D",17,2,"example+test"
"gdalraster","g_set_measured",17,2,"example+test"
"gdalraster","geos_version",17,5,"example+test"
"gdalraster","ogr_layer_test_cap",17,3,"example+test+vignette"
"geos","[",17,4,"test"
"sf","numeric",17,2,"test"
"stars","st_warp",17,5,"example+test+vignette"
"terra","writeRaster",17,6,"example+test"
"vapour","vapour_read_extent",17,5,"example+test+vignette"
"gdalraster","g_contains",16,2,"example+test"
"gdalraster","gdal_run",16,3,"example+test"
"gdalraster","inv_project",16,2,"example+test"
"gdalraster","rasterToVRT",16,2,"example+test"
"geos","geos_write_wkb",16,2,"test"
"s2","s2_cell_parent",16,4,"test"
"s2","s2_intersects_box",16,2,"example+test"
"stars","as.Date",16,11,"example+test"
"terra","rev",16,5,"example"
"vapour","vapour_read_attributes",16,3,"test"
"gdalraster","g_disjoint",15,1,"test"
"gdalraster","g_distance",15,2,"example+test"
"gdalraster","gdal_formats",15,8,"example+test"
"gdalraster","gdal_usage",15,3,"example+test"
"gdalraster","gdal_version",15,7,"example+test"
"gdalraster","ogr2ogr",15,6,"example+test+vignette"
"gdalraster","transform_xy",15,4,"example+test"
"s2","s2_cell_union",15,1,"test"
"s2","s2_is_collection",15,3,"example+test"
"sf","aggregate",15,4,"example+test+vignette"
"sf","st_is",15,5,"example+test"
"sf","st_length",15,8,"example+test+vignette"
"sf","st_relate",15,6,"example+test+vignette"
"sf","st_segmentize",15,6,"example+test+vignette"
"supercells","supercells",15,6,"example+test"
"terra","ncol",15,13,"example+test"
"gdalraster","g_buffer",14,4,"example+test"
"gdalraster","g_centroid",14,5,"example+test+vignette"
"gdalraster","ogr_field_rename",14,3,"example+test+vignette"
"geos","geos_geometry_writer",14,1,"test"
"geos","geos_inner_join_keys",14,2,"example+test"
"s2","s2_contains",14,2,"example+test"
"s2","s2_intersection",14,3,"example+test"
"s2","s2_point",14,2,"test"
"sf","sf.colors",14,6,"example+test+vignette"
"sf","sf_use_s2",14,3,"test+vignette"
"sf","st_drivers",14,5,"example+test"
"sf","st_equals",14,7,"example+test+vignette"
"sf","st_nearest_points",14,4,"example+test"
"stars","array",14,5,"example+test+vignette"
"stars","split",14,8,"example+test+vignette"
"terra","aggregate",14,5,"example+test"
"terra","centroids",14,6,"example+test"
"terra","global",14,7,"example+test"
"terra","mean",14,8,"example+test"
"terra","sort",14,6,"example+test"
"tmap","tmap_mode",14,5,"example"
"vapour","vapour_read_fields",14,3,"example+vignette"
"gdalraster","g_crosses",13,1,"test"
"gdalraster","g_make_valid",13,2,"example+test"
"gdalraster","g_touches",13,1,"test"
"gdalraster","gdal_alg",13,2,"test"
"gdalraster","get_cache_max",13,3,"example+test"
"gdalraster","ogr_ds_exists",13,3,"example+test+vignette"
"gdalraster","ogr_ds_layer_names",13,4,"example+test+vignette"
"gdalraster","ogr_layer_delete",13,2,"test+vignette"
"gdalraster","ogr_proc",13,3,"example+test+vignette"
"geos","geos_strtree",13,2,"test"
"s2","as_s2_point",13,5,"example+test"
"s2","s2_covers",13,2,"example+test"
"sf","as.data.frame",13,10,"example+test+vignette"
"sf","text",13,5,"example+test"
"stars","write_stars",13,7,"example+test+vignette"
"terra","as.matrix",13,7,"example+test"
"terra","autocor",13,3,"example+test"
"terra","freq",13,4,"example+test"
"vapour","vapour_read_geometry",13,5,"example+test+vignette"
"gdalraster","g_geom_count",12,2,"example+test"
"gdalraster","mdim_as_classic",12,3,"example+test"
"gdalraster","ogr_def_layer",12,6,"example+test+vignette"
"gdalraster","ogr_ds_add_field_domain",12,2,"test"
"gdalraster","rasterFromRaster",12,7,"example+test"
"geos","geos_empty",12,3,"example+test"
"s2","as_s2_lnglat",12,3,"test"
"s2","s2_data_cities",12,8,"example+test"
"sf","map",12,6,"example+test+vignette"
"sf","st_join",12,3,"example+test+vignette"
"sf","st_line_sample",12,3,"example+test"
"stars","merge",12,5,"example+test+vignette"
"terra","app",12,5,"example+test"
"terra","distance",12,1,"example"
"terra","ifel",12,6,"example+test"
"terra","proj_pipelines",12,2,"example+test"
"terra","xmin",12,4,"example+test"
"gdalraster","g_length",11,3,"example+test+vignette"
"gdalraster","gdal_commands",11,2,"example+test"
"gdalraster","ogr_ds_test_cap",11,5,"example+test+vignette"
"gdalraster","ogr_field_set_domain_name",11,2,"test"
"gdalraster","ogr_geom_field_create",11,1,"test"
"gdalraster","ogrinfo",11,4,"example+test+vignette"
"geos","character",11,5,"test"
"geos","geos_buffer",11,2,"example+test"
"geos","geos_make_polygon",11,2,"example+test"
"geos","geos_set_precision",11,2,"test"
"geos","geos_unnest",11,2,"example+test"
"geos","geos_write_hex",11,1,"test"
"s2","s2_equals",11,2,"example+test"
"sf","gdal_metadata",11,2,"example+test"
"sf","st_agr",11,5,"example+test+vignette"
"sf","st_overlaps",11,6,"example+test+vignette"
"sf","st_simplify",11,3,"example+test"
"stars","st_rasterize",11,3,"example+test+vignette"
"stars","st_sample",11,5,"example+test"
"terra","geom",11,8,"example+test"
"terra","head",11,10,"example"
"terra","is.valid",11,4,"example+test"
"terra","sds",11,9,"example+test"
"tmap","tm_borders",11,7,"example"
"vapour","vapour_raster_info",11,6,"example+test+vignette"
"gdalraster","buildRAT",10,6,"example+test+vignette"
"gdalraster","dt_find_for_value",10,2,"example+test"
"gdalraster","dt_is_signed",10,3,"example+test"
"gdalraster","g_intersection",10,2,"example+test"
"gdalraster","getCreationOptions",10,3,"example+test+vignette"
"gdalraster","ogr_ds_layer_count",10,3,"example+test"
"gdalraster","vsi_rmdir",10,6,"example+test+vignette"
"geos","geos_basic_strtree_insert",10,2,"example+test"
"s2","is.na",10,5,"test"
"s2","s2_bounds_cap",10,2,"example+test"
"s2","s2_bounds_rect",10,2,"example+test"
"s2","s2_cell_union_contains",10,1,"test"
"s2","s2_data_timezones",10,3,"example+test"
"s2","s2_difference",10,4,"example+test"
"s2","s2_make_polygon",10,3,"example+test"
"s2","unlist",10,2,"example+test"
"sf","guess_driver_can_write",10,1,"test"
"sf","sf_proj_info",10,3,"example+test"
"sf","st_is_within_distance",10,3,"example+test"
"stars","adrop",10,7,"test+vignette"
"stars","st_geometry",10,7,"example+test+vignette"
"stars","st_redimension",10,5,"test"
"terra","as.lines",10,5,"example"
"terra","getTileExtents",10,2,"example+test"
"terra","net_nodes",10,3,"example+test"
"terra","plet",10,1,"example"
"terra","res",10,6,"example+test"
"terra","update",10,2,"example+test"
"tmap","qtm",10,2,"example"
"tmap","tm_rgb",10,2,"example"
"gdalraster","dt_is_complex",9,2,"example+test"
"gdalraster","dt_is_floating",9,2,"example+test"
"gdalraster","dt_is_integer",9,2,"example+test"
"gdalraster","g_boundary",9,2,"example+test"
"gdalraster","g_concave_hull",9,2,"example+test"
"gdalraster","g_delaunay_triangulation",9,3,"example+test"
"gdalraster","g_envelope",9,1,"test"
"gdalraster","g_sym_difference",9,2,"example+test"
"gdalraster","g_union",9,2,"example+test"
"gdalraster","gdal_run_piped",9,3,"example+test"
"gdalraster","get_config_option",9,5,"example+test+vignette"
"gdalraster","identifyDriver",9,2,"example+test"
"gdalraster","ogr_field_delete",9,3,"example+test+vignette"
"gdalraster","ogr_layer_exists",9,1,"test"
"gdalraster","polygonize",9,2,"example+test"
"gdalraster","vsi_mkdir",9,4,"example+test"
"geos","geos_clip_by_rect",9,1,"test"
"geos","geos_is_empty",9,5,"example+test"
"geos","wk_crs",9,3,"test"
"s2","s2_boundary",9,3,"example+test"
"s2","s2_centroid",9,2,"example+test"
"s2","s2_coverage_union_agg",9,2,"example+test"
"s2","s2_dwithin",9,2,"example+test"
"s2","s2_geog_from_text",9,4,"example+test"
"s2","s2_geog_from_wkb",9,4,"example+test"
"s2","s2_sym_difference",9,2,"example+test"
"s2","s2_union_agg",9,1,"test"
"s2","s2_within",9,2,"example+test"
"sf","st_convex_hull",9,4,"example+test+vignette"
"sf","st_is_empty",9,7,"example+test"
"sf","st_nearest_feature",9,3,"example+test"
"sf","st_polygonize",9,5,"example+test+vignette"
"sf","st_viewport",9,2,"example+test"
"sf","st_voronoi",9,2,"example+test"
"sf","str",9,2,"test+vignette"
"stars","data.frame",9,6,"example+test"
"terra","interpolate",9,1,"example"
"terra","north",9,2,"example"
"terra","rasterize",9,6,"example+test"
"terra","roll",9,2,"example+test"
"terra","sbar",9,2,"example"
"terra","setValues",9,3,"example+test"
"terra","subset",9,2,"example"
"terra","xyFromCell",9,4,"example+test"
"terra","ymax",9,3,"example+test"
"terra","ymin",9,3,"example+test"
"vapour","vapour_driver",9,4,"example+test+vignette"
"gdalraster","dump_open_datasets",8,2,"example+test"
"gdalraster","g_get_geom",8,2,"example+test"
"gdalraster","g_simplify",8,2,"example+test"
"gdalraster","has_spatialite",8,8,"example+test"
"gdalraster","inspectDataset",8,3,"example+test+vignette"
"gdalraster","mdim_translate",8,2,"example+test"
"gdalraster","srs_is_projected",8,4,"example+test"
"gdalraster","warp",8,2,"example+test"
"geos","geos_basic_strtree",8,2,"example+test"
"geos","geos_basic_strtree_query",8,2,"example+test"
"geos","geos_make_collection",8,2,"example+test"
"geos","geos_make_linestring",8,3,"example+test"
"geos","geos_set_srid",8,3,"test"
"geos","plot",8,3,"example+test"
"geos","wk_handle",8,2,"example+test"
"s2","as_s2_cell_union",8,1,"test"
"s2","character",8,5,"test"
"s2","new_s2_cell_union",8,2,"test"
"s2","s2_cell_child",8,2,"test"
"s2","s2_convex_hull_agg",8,2,"example+test"
"s2","s2_earth_radius_meters",8,4,"example+test"
"s2","s2_max_distance",8,2,"example+test"
"s2","s2_plot",8,2,"example+test"
"sf","head",8,6,"example+test+vignette"
"sf","is.na",8,7,"test"
"sf","st_combine",8,6,"example+test"
"stars","geom_stars",8,5,"example+test+vignette"
"terra","activeCat",8,3,"example"
"terra","all.equal",8,4,"example+test"
"terra","cells",8,2,"example+test"
"terra","has.z",8,2,"example+test"
"terra","intersect",8,4,"example+test"
"terra","mask",8,3,"example+test"
"terra","net_directed",8,4,"example+test"
"terra","terraOptions",8,2,"example+test"
"terra","window",8,3,"example+test"
"terra","xmax",8,2,"example+test"
"tmap","tm_legend",8,7,"example"
"vapour","sds_boilerplate_checks",8,1,"test"
"vapour","vapour_crs_is_lonlat",8,2,"example+test"
"vapour","vapour_read_geometry_ij",8,1,"test"
"gdalraster","combine",7,4,"example+test"
"gdalraster","copyDatasetFiles",7,4,"example+test"
"gdalraster","dt_union_with_value",7,2,"example+test"
"gdalraster","g_convex_hull",7,2,"example+test"
"gdalraster","g_normalize",7,2,"example+test"
"gdalraster","g_segmentize",7,2,"example+test"
"gdalraster","g_summary",7,2,"example+test"
"gdalraster","g_swap_xy",7,2,"example+test"
"gdalraster","g_unary_union",7,2,"example+test"
"gdalraster","get_cache_used",7,2,"example+test"
"gdalraster","gt_from_dim_bbox",7,2,"example+test"
"gdalraster","sieveFilter",7,2,"example+test"
"gdalraster","srs_epsg_treats_as_northing_easting",7,2,"example+test"
"geos","geos_clearance_line_between",7,2,"example+test"
"geos","geos_make_valid",7,2,"example+test"
"geos","geos_offset_curve",7,2,"example+test"
"geos","geos_polygonize",7,2,"example+test"
"geos","geos_read_wkb",7,1,"test"
"geos","rep",7,3,"test"
"s2","as.character",7,2,"test"
"s2","expect_near",7,2,"test"
"s2","s2_centroid_agg",7,2,"example+test"
"s2","s2_covered_by",7,2,"example+test"
"s2","s2_disjoint",7,2,"example+test"
"s2","s2_length",7,2,"example+test"
"s2","s2_perimeter",7,2,"example+test"
"s2","s2_prepared_dwithin",7,1,"test"
"s2","s2_x",7,3,"example+test"
"sf","merge",7,3,"example+test+vignette"
"sf","points",7,3,"example+test+vignette"
"sf","st_axis_order",7,2,"example+test"
"sf","st_crop",7,2,"example+test"
"sf","st_graticule",7,4,"example+test+vignette"
"sf","st_m_range",7,2,"example+test"
"sf","st_make_valid",7,3,"example+test"
"sf","st_shift_longitude",7,2,"example+test"
"sf","st_triangulate",7,3,"example+test"
"stars","cut",7,2,"example+test"
"stars","length",7,3,"test"
"terra","as.data.frame",7,7,"example+test"
"terra","costDist",7,2,"example+test"
"terra","flowAccumulation",7,2,"example+test"
"terra","gridDist",7,2,"example+test"
"terra","is.factor",7,3,"example+test"
"terra","lapp",7,1,"example"
"terra","merge",7,2,"example"
"terra","writeVector",7,3,"example+test"
"tmap","tm_layout",7,7,"example"
"vapour","vapour_layer_info",7,3,"example+test"
"vapour","vapour_write_raster_block",7,2,"example+test"
"gdalraster","bbox_from_dim_gt",6,3,"example+test"
"gdalraster","dem_proc",6,4,"example+test"
"gdalraster","g_geodesic_area",6,1,"test"
"gdalraster","g_geodesic_length",6,1,"test"
"gdalraster","gdal_get_driver_md",6,4,"example+test"
"gdalraster","lib_versions",6,2,"example+test"
"gdalraster","mdim_info",6,3,"example+test"
"gdalraster","srs_get_axes",6,2,"example+test"
"gdalraster","srs_get_axes_count",6,2,"example+test"
"geos","[[",6,2,"test"
"geos","format",6,2,"test"
"geos","geos_num_geometries",6,4,"example+test"
"geos","geos_orientation_index",6,2,"example+test"
"geos","geos_read_hex",6,1,"test"
"geos","geos_relate_pattern_create",6,2,"example+test"
"geos","geos_voronoi_edges",6,2,"example+test"
"geos","geos_voronoi_polygons",6,2,"example+test"
"s2","s2_covering_cell_ids",6,2,"test"
"s2","s2_dimension",6,3,"example+test"
"s2","s2_y",6,2,"example+test"
"sf","st_as_s2",6,3,"example+test+vignette"
"sf","st_exterior_ring",6,1,"test"
"sf","st_normalize",6,2,"example+test"
"sf","st_sym_difference",6,4,"test+vignette"
"sf","st_wrap_dateline",6,4,"example+test"
"stars","st_tile",6,2,"example+test"
"terra","adjacent",6,2,"example+test"
"terra","buffer",6,4,"example+test"
"terra","crosstab",6,2,"example+test"
"terra","depth",6,2,"example"
"terra","disagg",6,5,"example"
"terra","erase",6,3,"example+test"
"terra","flowDir",6,2,"example"
"terra","geomtype",6,4,"example+test"
"terra","has.time",6,1,"test"
"terra","layerCor",6,2,"example+test"
"terra","legend_cont",6,1,"example"
"terra","mosaic",6,2,"example+test"
"terra","net_edges",6,2,"test"
"terra","nseg",6,2,"example+test"
"terra","pitfinder",6,3,"example+test"
"terra","units",6,2,"example"
"terra","writeNetwork",6,2,"example+test"
"tmap","tm_basemap",6,2,"example"
"tmap","tm_graticules",6,2,"example"
"tmap","tm_scale_continuous",6,4,"example"
"tmap","tm_scale_intervals",6,4,"example"
"tmap","tm_vars",6,2,"example"
"tmap","tmap_style",6,2,"example"
"vapour","vapour_read_geometry_ia",6,1,"test"
"vapour","vapour_sds_names",6,4,"example+test"
"vapour","vapour_vrt",6,4,"example+test"
"gdalraster","bandCopyWholeRaster",5,2,"example+test"
"gdalraster","g_is_ring",5,1,"test"
"gdalraster","get_pixel_line",5,2,"example+test"
"gdalraster","ogr_def_geom_field",5,2,"test"
"gdalraster","ogr_ds_field_domain_names",5,2,"test"
"gdalraster","srs_is_dynamic",5,2,"example+test"
"gdalraster","srs_is_geographic",5,2,"example+test"
"gdalraster","srs_to_projjson",5,2,"example+test"
"gdalraster","vsi_get_file_metadata",5,4,"example+test+vignette"
"gdalraster","vsi_get_fs_options",5,2,"example+test"
"geos","geos_basic_strtree_size",5,2,"example+test"
"geos","geos_is_clockwise",5,1,"test"
"geos","geos_make_point",5,2,"example+test"
"geos","geos_segment_intersection",5,2,"example+test"
"geos","geos_srid",5,5,"example+test"
"geos","geos_xmax",5,3,"example+test"
"geos","geos_xmin",5,3,"example+test"
"geos","geos_ymax",5,3,"example+test"
"geos","geos_ymin",5,3,"example+test"
"geos","new_data_frame",5,2,"test"
"geos","recycle_common",5,1,"test"
"s2","recycle_common",5,1,"test"
"s2","s2_as_binary",5,3,"example+test"
"s2","s2_cell_is_valid",5,1,"test"
"s2","s2_cell_union_intersects",5,1,"test"
"s2","s2_closest_edges",5,2,"example+test"
"s2","s2_covering_cell_ids_agg",5,1,"test"
"s2","s2_distance_matrix",5,2,"example+test"
"s2","s2_max_distance_matrix",5,2,"example+test"
"s2","s2_minimum_clearance_line_between",5,2,"example+test"
"s2","s2_point_on_surface",5,2,"example+test"
"s2","s2_project_normalized",5,2,"example+test"
"sf","as_Spatial",5,2,"example+test"
"sf","character",5,3,"test"
"sf","factor",5,5,"test"
"sf","gdal_addo",5,1,"test"
"sf","is_driver_can",5,2,"test"
"sf","sf_project",5,2,"test"
"sf","st_boundary",5,3,"test+vignette"
"sf","st_dimension",5,4,"example+test"
"sf","st_is_simple",5,5,"example+test+vignette"
"sf","st_jitter",5,2,"example+test"
"sf","st_line_merge",5,3,"example+test"
"sf","st_node",5,2,"example+test"
"sf","st_point_on_surface",5,3,"example+test"
"sf","st_within",5,4,"test+vignette"
"stars","aperm",5,4,"example+test"
"stars","st_crop",5,3,"example+test"
"stars","st_res",5,1,"example"
"stars","st_rgb",5,2,"example"
"terra","RGB",5,2,"example+test"
"terra","approximate",5,3,"example+test"
"terra","as.points",5,4,"example"
"terra","cellFromXY",5,4,"example+test"
"terra","cellSize",5,4,"example+test"
"terra","extractRange",5,3,"example+test"
"terra","fillHoles",5,2,"example+test"
"terra","hull",5,1,"example"
"terra","inset",5,1,"example"
"terra","is.lonlat",5,1,"example"
"terra","linearUnits",5,1,"example"
"terra","minmax",5,4,"example+test"
"terra","plotRGB",5,2,"example+test"
"terra","shift",5,4,"example"
"terra","sources",5,3,"example+test"
"terra","timeInfo",5,2,"example+test"
"tmap","tm_grid",5,1,"example"
"tmap","tm_scale_categorical",5,3,"example"
"tmap","tmap_save",5,1,"example"
"vapour","gdal_raster_data",5,1,"example"
"vapour","vapour_layer_names",5,3,"example+test"
"vapour","vapour_read_raster_block",5,3,"example+test"
"gdalraster","addFilesInZip",4,4,"example+test"
"gdalraster","autoCreateWarpedVRT",4,2,"example+test"
"gdalraster","bbox_union",4,2,"example+test"
"gdalraster","displayRAT",4,3,"example+test+vignette"
"gdalraster","fillNodata",4,2,"example+test"
"gdalraster","g_invalid_reason",4,2,"example+test"
"gdalraster","gdal_global_reg_names",4,4,"example+test"
"gdalraster","ogr_ds_format",4,2,"example+test"
"gdalraster","plot_geom",4,3,"example+test"
"gdalraster","proj_search_paths",4,2,"example+test"
"gdalraster","proj_version",4,4,"example+test"
