id,area,expectation,seen_in,adgl,note
nodata-mask,raster,Return a nodata value as missing rather than as data,rasterio src.read(masked) 37 calls - its most-used argument; terra and stars mask by default,have,"collect() and as_grd() mask by default; the decision pivots on type, since only a double has a missing value to put there"
boundless,raster,Read a window that runs past the edge and pad it,rasterio src.read(boundless) 18 calls; terra::crop(extend) 6 calls,have,"query(pad = TRUE); the padding is whole source pixels so it does not move the grid, and it needs type double"
read-masks,raster,Read the mask itself rather than the values,rasterio src.read_masks,gap,"the per-pixel validity, which is not the same question as the values"
overview-level,raster,Choose an overview level explicitly,rasterio.open(overview_level),have,"src(options = ""OVERVIEW_LEVEL=2"") - GDAL's own open option, which is why src() takes them"
block-windows,raster,Iterate the source's own blocks or tiles,rasterio src.block_windows; windows.Window.from_slices,elsewhere,grout owns tiling
create-from-nothing,raster,Create a raster from a dtype and a transform with no source,rasterio.open(driver dtype count width height crs transform) 25 calls,wont,adgl is IO over sources; GDAL7::gdal_create() is the answer and stays there
arrow-out,vector,Hand back the Arrow stream rather than a materialised table,"geopandas to_arrow; pyogrio use_arrow 172, its single most-used argument",gap,"adgl reads through nanoarrow and then builds a tibble, so the stream is already there and is thrown away"
fid,vector,"Read the feature id, and read by it","pyogrio fid_as_index 9, fids 6",have,"always named fid, from GDAL's own FID column name; read by it with query(where = ""fid IN (...)""), which GDAL's SQL takes on every driver"
geometry-name,vector,Know or choose the geometry column's name,pyogrio geometry_name 32,have,"always named geom on read; write_to(geometry_name = , fid_name = ) names both where the format stores them"
datetime,vector,Datetimes and time zones survive the read,"pyogrio datetime_as_string 9, mixed_offsets_as_utc 8",gap,"adgl hands back whatever nanoarrow makes of GDAL's Arrow stream, never checked against a source with a zoned datetime field"
force-2d,vector,Drop Z and M from geometries on read,pyogrio force_2d 4,gap,"small, and wk can do it after the fact"
encoding,vector,Tell GDAL what encoding a source is in,pyogrio encoding 28,have,"src(options = ""ENCODING=..."") is how GDAL itself takes it, so the open option covers it without a new argument"
